Admin1Name,PeriodStartDate,PeriodEndDate,CountValue
WISCONSIN,11/15/1953,11/21/1953,65
WISCONSIN,11/29/1953,12/5/1953,30
WISCONSIN,12/6/1953,12/12/1953,156
WISCONSIN,12/13/1953,12/19/1953,71
WISCONSIN,1/3/1954,1/9/1954,55
WISCONSIN,1/10/1954,1/16/1954,101
WISCONSIN,1/17/1954,1/23/1954,99
WISCONSIN,1/24/1954,1/30/1954,155
WISCONSIN,1/31/1954,2/6/1954,152
WISCONSIN,2/7/1954,2/13/1954,194
WISCONSIN,2/14/1954,2/20/1954,196
WISCONSIN,2/21/1954,2/27/1954,292
WISCONSIN,2/28/1954,3/6/1954,208
WISCONSIN,3/7/1954,3/13/1954,239
WISCONSIN,3/14/1954,3/20/1954,234
WISCONSIN,3/21/1954,3/27/1954,308
WISCONSIN,3/28/1954,4/3/1954,411
WISCONSIN,4/4/1954,4/10/1954,373
WISCONSIN,4/11/1954,4/17/1954,381
WISCONSIN,4/18/1954,4/24/1954,381
WISCONSIN,4/25/1954,5/1/1954,375
WISCONSIN,5/2/1954,5/8/1954,354
WISCONSIN,5/9/1954,5/15/1954,391
WISCONSIN,5/16/1954,5/22/1954,337
WISCONSIN,5/23/1954,5/29/1954,364
WISCONSIN,5/30/1954,6/5/1954,402
WISCONSIN,6/6/1954,6/12/1954,434
WISCONSIN,6/13/1954,6/19/1954,421
WISCONSIN,6/20/1954,6/26/1954,476
WISCONSIN,6/27/1954,7/3/1954,433
WISCONSIN,7/4/1954,7/10/1954,311
WISCONSIN,7/11/1954,7/17/1954,251
WISCONSIN,7/18/1954,7/24/1954,338
WISCONSIN,7/25/1954,7/31/1954,212
WISCONSIN,8/1/1954,8/7/1954,166
WISCONSIN,8/8/1954,8/14/1954,117
